ds,y,yhat,yhat_lower,yhat_upper,effect
2023-12-01,42514,56037.699121797414,43072.95507126539,70073.61450207961,-13523.699121797414
2024-01-01,47751,72023.98485099665,57712.43870457582,86191.67866700115,-24272.984850996654
2024-02-01,46149,70893.08925083869,57767.68712002122,85214.8255535578,-24744.08925083869
2024-03-01,44969,71692.70501193218,57141.95474799176,87224.44564501339,-26723.70501193218
2024-04-01,42631,82278.53968961985,67947.27786354379,97563.1235980853,-39647.53968961985
2024-05-01,40323,82008.72534559749,67476.65355714243,97634.50898241464,-41685.725345597486
2024-06-01,32183,71427.50800719392,55413.416461611916,87687.78224896078,-39244.508007193916
2024-07-01,31604,64148.10890267372,47476.87421893334,81233.07270348126,-32544.108902673717
2024-08-01,28025,57078.500393501134,40021.80435632778,75123.95171465055,-29053.500393501134
2024-09-01,24848,53898.58881711637,36458.56752510162,71454.43337656945,-29050.588817116368
2024-10-01,23256,53593.767157467504,35375.67376579572,73411.25836218875,-30337.767157467504
2024-11-01,20872,50811.640154751076,30856.81328811501,69310.16234766705,-29939.640154751076
2024-12-01,17995,49914.08958829373,30281.389822312798,69715.46308644311,-31919.089588293733
2025-01-01,18267,55107.561717472454,33606.003204981,76142.71418584022,-36840.561717472454
2025-02-01,17556,44757.266634831496,24539.58648936082,66603.97370282449,-27201.266634831496
2025-03-01,18897,55779.04817259218,34532.617870191636,77614.98789769429,-36882.04817259218
2025-04-01,13994,58125.76799515294,35129.5677023362,81688.59971963147,-44131.76799515294
2025-05-01,11594,57422.126324923345,33742.53931721194,80453.80595863277,-45828.126324923345
2025-06-01,9228,46476.12900818118,23696.756866807886,71647.57102957291,-37248.12900818118
2025-07-01,7783,44276.80373553855,20551.23690205741,68982.83210315641,-36493.80373553855
2025-08-01,5863,36343.31148730681,9643.940441929086,61995.632774962076,-30480.31148730681
2025-09-01,6093,31843.47116163229,5396.5666205272655,58361.99680558653,-25750.47116163229
2025-10-01,5378,34282.72468269068,7231.389553058366,61209.14807887794,-28904.724682690678
2025-11-01,4311,29464.176474409684,356.0249926980654,57547.07123644902,-25153.176474409684
2025-12-01,3374,22645.465400041932,-8224.504176614622,52341.78709235471,-19271.465400041932
2026-01-01,3186,31298.083259528543,2072.9775526844037,63537.43264655444,-28112.083259528543
2026-02-01,1894,24009.08495173677,-7341.498660217182,55853.208330686604,-22115.08495173677
