ds,y,yhat,yhat_lower,yhat_upper,effect
2021-10-01,0.17268709677419353,0.1529520008017552,0.12836514260541207,0.1796382364260957,0.019735095972438332
2021-11-01,0.17453814814814816,0.15934578212189218,0.13419584203794035,0.18558564692912807,0.015192366026255982
2021-12-01,0.16240448028673835,0.1755246537154072,0.15040437422816794,0.20231079284144263,-0.013120173428668863
2022-01-01,0.189118458781362,0.17802568485593945,0.15315289498655404,0.20499279198188813,0.011092773925422544
2022-02-01,0.19436051587301587,0.17671749955545557,0.14950630447732252,0.20311160068571124,0.017643016317560295
2022-03-01,0.16286577060931898,0.1709225282395675,0.14419044550959684,0.19741723782450274,-0.008056757630248518
2022-04-01,0.12701018518518517,0.15837499090602336,0.1320350951781509,0.18470105620951943,-0.03136480572083819
2022-05-01,0.17243494623655914,0.1711899684298087,0.14680777670434508,0.1957672959335469,0.0012449778067504524
2022-06-01,0.13721444444444444,0.1381435764759152,0.11294818737995652,0.1638279703739759,-0.0009291320314707419
2022-07-01,0.12985931899641578,0.14262607391680268,0.11821000112593073,0.16884774482947004,-0.012766754920386897
2022-08-01,0.17038387096774193,0.1656734027805574,0.13974137788647545,0.19253098554075126,0.004710468187184541
2022-09-01,0.1644072222222222,0.1786966819973842,0.15204078159942325,0.20276467567646764,-0.014289459775161995
2022-10-01,0.12440609318996415,0.14465494355714142,0.1183465449077106,0.16970557310048154,-0.020248850367177273
2022-11-01,0.19493425925925925,0.15319215666362845,0.1265308845395878,0.17864846489676872,0.0417421025956308
2022-12-01,0.18436164874551972,0.1735369205001637,0.14836626504312564,0.1983013102592594,0.010824728245356019
2023-01-01,0.16094767025089607,0.18328845695864796,0.15769451743285595,0.20989322005521815,-0.022340786707751886
2023-02-01,0.16253253968253967,0.1676997420900855,0.14170117070921928,0.19348696739500704,-0.00516720240754584
2023-03-01,0.12984498207885306,0.158805728770514,0.13109928047951241,0.1827165744742225,-0.028960746691660932
2023-04-01,0.12826222222222222,0.16092024914880323,0.13719600820907646,0.18591712307593364,-0.03265802692658101
2023-05-01,0.1592,0.17930736825877885,0.15263997800444845,0.20393627169931575,-0.020107368258778846
2023-06-01,0.15810703703703702,0.12865811256836024,0.10273023763986958,0.15201169148603919,0.02944892446867678
2023-07-01,0.14777939068100357,0.12829508256524924,0.10133106927983268,0.15504468260995918,0.01948430811575433
2023-08-01,0.1372521505376344,0.16824194337845233,0.14198102047152564,0.1931292687814921,-0.03098979284081793
2023-09-01,0.17047796296296294,0.18081053184596693,0.15648124669497837,0.20601202704001073,-0.01033256888300399
2023-10-01,0.12379587813620073,0.13626590665854613,0.11215570587751429,0.16437812146277825,-0.012470028522345397
2023-11-01,0.1317874074074074,0.14712731870059936,0.12069652044128726,0.17367438889472553,-0.015339911293191955
2023-12-01,0.14822383512544804,0.17166901454756822,0.1458199737926067,0.196502467983965,-0.023445179422120183
